"Title","Salary","Location","Description"
"Support Worker","£8.50 per hour","Margate","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for passionate and dedicated individuals to join our team as a Support Worker in Ramsgate, Kent. This is a permanent..."
"Children's Community Support Worker","£8.50 per hour","Stockport","Reference number: 43873 Title: Children's Community Support Worker Location: Stockport Salary: 8.50 per hour Hours: 6 hours per week Closing date: Monday 6 January 2020 Interview date: Wednesday 15 January 2020 Contract type: Permanent Are you looking..."
"Support Worker","£8.50 per hour","Leeds","Are you looking for a rewarding job where you go home knowing that you have made a real impact on someone's life? Sense has a great opportunity for passionate and dedicated individuals to join our team as a Support Worker in Leeds. This is a permanent..."
"Customer Service Advisor Part time evenings","£9.00 per hour","Milton Keynes","Based: Milton Keynes Hours: Part time evenings-Between 4pm and 11pm, 16-25 hours a week(Three days during the week and either a Saturday or a Sunday) Salary: 9.00 per hour PLEASE NOTE: you must be fully flexible and willing to work the above hours. If..."
"Bus Driver LTD","£15.50 per hour","Epsom","Are you looking for a fulfilling career as a bus driver? Do you have a full UK PCV licence with a valid CPC qualification? Does an immediate start with full time potential interest you? We are recruiting service bus drivers in Epsom for an an established..."
"BUSINESS TRAVEL CONSULTANT","Salary negotiable","Aberdeen","BUSINESS TRAVEL CONSULTANT ABERDEEN HIGHLY COMPETITIVE BASIC THE JOB Do you have experience in Business Travel and you are looking for a new challenge? This is an exciting opportunity to move into a new team with one of the UK's leading travel management..."
"Specialist Recruitment Consultant","£30,000 per annum","Stockport","Job Specification - Specialist Recruitment Consultant c 30,000 bonus, pension, flexible working and flexible benefits Permanent, full time role with significant prospects Job specification The successful applicant will be responsible for developing LiCa..."
"Customer Service Advisor - German Speaking","£16,000 per annum","Gateshead","We are proudly representing our client who are a leading business in the commercial sector. Due to recent growth they are now looking for a number of customer service advisors to their team. If you are looking for a new role, please apply immediately...."
"Logistics & Tech Assistant","£16,000 - £18,000 per annum","Basingstoke","Position: Logistics & Technical Assistant Salary: 16- 18k Reporting to: Technical Manager Objectives: To maintain all stock in a secure, safe and tidy environment, clearly identified by part number and area location. To control goods in and out in..."
"Relief Nursery Nurse","£8.62 - £10.50 per hour","Hitchin","Relief Nursery Nurse If you are looking for a flexible childcare role, come and join the nursery team at our beautiful Highbury Lodge Day Nursery in Hitchin. We are seeking a 'support' team member to join us as a Relief Nursery Nurse. This role would be..."
